row_id,latitude,longitude,date_time,organism_id,geometry,date,time,date_string,year,month_day
1739_105426,49.165844,-125.913799,2009-06-23 15:56:00,,POINT (-125.913799 49.165844),2009-06-23,15:56:00,2009-06-23,2009,06-23
1739_255965,49.165844,-125.913799,2009-06-23 16:07:00,,POINT (-125.913799 49.165844),2009-06-23,16:07:00,2009-06-23,2009,06-23
1739_215203,44.830737,-124.06781,2009-08-14 15:41:00,,POINT (-124.06781 44.830737),2009-08-14,15:41:00,2009-08-14,2009,08-14
1739_8966,44.829862,-124.066898,2009-08-23 15:19:00,https://happywhale.com/individual/19913,POINT (-124.066898 44.829862),2009-08-23,15:19:00,2009-08-23,2009,08-23
1739_183902,37.68,-123.0,2009-10-02 10:49:00,,POINT (-123 37.68),2009-10-02,10:49:00,2009-10-02,2009,10-02
1739_154576,37.68,-123.0,2009-10-05 09:19:00,,POINT (-123 37.68),2009-10-05,09:19:00,2009-10-05,2009,10-05
1739_188148,37.68,-123.0,2009-10-10 13:56:00,,POINT (-123 37.68),2009-10-10,13:56:00,2009-10-10,2009,10-10
1739_125020,26.73,-113.15,2010-03-18 12:13:00,,POINT (-113.15 26.73),2010-03-18,12:13:00,2010-03-18,2010,03-18
1739_95236,26.73,-113.15,2010-03-18 12:32:00,,POINT (-113.15 26.73),2010-03-18,12:32:00,2010-03-18,2010,03-18
1739_5684,33.6,-118.1,2010-03-28 15:25:00,,POINT (-118.1 33.6),2010-03-28,15:25:00,2010-03-28,2010,03-28
1739_100386,44.831353,-124.065707,2010-08-06 14:05:00,https://happywhale.com/individual/19914,POINT (-124.065707 44.831353),2010-08-06,14:05:00,2010-08-06,2010,08-06
1739_196722,44.829853,-124.066656,2010-09-24 10:46:00,https://happywhale.com/individual/19915,POINT (-124.066656 44.829853),2010-09-24,10:46:00,2010-09-24,2010,09-24
1739_204928,37.68,-123.0,2010-10-28 13:56:00,,POINT (-123 37.68),2010-10-28,13:56:00,2010-10-28,2010,10-28
1739_160780,22.8,-109.9,2011-01-18 17:49:00,,POINT (-109.9 22.8),2011-01-18,17:49:00,2011-01-18,2011,01-18
1739_48176,22.8,-109.9,2011-01-18 17:49:00,,POINT (-109.9 22.8),2011-01-18,17:49:00,2011-01-18,2011,01-18
1739_29866,44.758921,-124.069204,2011-06-05 09:42:00,https://happywhale.com/individual/1149,POINT (-124.069204 44.758921),2011-06-05,09:42:00,2011-06-05,2011,06-05
